"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\qualificationsAndAchievements\PendingTrainerQualifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\qualificationsAndAchievements\useGetPendingTrainerQualifications.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\subscrption pricing\PendingTrainerPackageRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\subscrption pricing\PendingTrainerPackages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\subscrption pricing\PendingTrainerPackagesTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\subscrption pricing\useGetPendingTrainerPackages.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\useGetPendingTrainerInfoBar.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\usePendingTrainerAccept.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\usePendingTrainerReject.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\useGetPendingTrainers.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\AllChats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 1, 4, 36
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBox-v1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 3, 6, 39
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 4, 12, 78
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBoxFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 2, 9, 95
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBoxHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBoxMessageReceived.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBoxMessageSent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 1, 3, 26
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\chat\ChatBoxMessages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 1, 7, 43
